Word;Occurences;Themes
table;1683;
drama;1678;sadness anger
shows;1678;
laid;1673;passion confidence
click;1672;
exactly;1670;
fever;1670;passion love
kissed;1669;passion love
rough;1669;pain anger
missed;1668;pain sadness
busy;1666;
taught;1666;confidence
fault;1664;sadness
stood;1663;confidence
matters;1660;confusion
forth;1659;
ending;1657;
changes;1655;
whats;1652;
calm;1649;serenity
questions;1649;confusion
whisper;1649;serenity
rocking;1648;passion
watchin;1647;
coast;1645;serenity
flames;1642;passion
tied;1640;pain anger
kisses;1639;passion love
reasons;1639;
begun;1638;hope
misery;1635;pain sadness
smoking;1633;
trick;1633;pain
colors;1630;love passion
hits;1630;
trippin;1629;confusion happiness
waves;1629;serenity confusion
birthday;1627;happiness
eminem;1624;
actin;1622;passion
famous;1621;
passion;1617;passion
rising;1615;hope
roof;1613;
store;1613;
decide;1612;confidence
foot;1611;
burned;1610;madness pain
difference;1610;confusion
letter;1610;
soldier;1610;confidence
destiny;1608;serenity hope
dressed;1607;happiness
fading;1606;sadness
color;1601;hope passion
fools;1600;madness
flight;1599;serenity hope
silent;1594;
threw;1589;
level;1587;
pants;1583;
greatest;1580;hope
likes;1579;
silly;1574;madness
admit;1573;
crown;1572;
shirt;1572;
dollars;1571;
lovely;1571;love happiness hope
evening;1568;
trap;1561;sadness
judge;1560;
lane;1560;
waited;1559;
ooooh;1558;happiness
scars;1558;pain sadness
ballin;1556;confusion
cloud;1555;sadness
nose;1552;
animal;1551;
heartbeat;1550;
killer;1550;
wasting;1550;confusion
suddenly;1549;
tune;1547;
numb;1545;
action;1542;confidence
passing;1542;
confused;1536;confusion
passed;1536;
friday;1533;
bullshit;1532;anger
cryin;1532;pain sadness
path;1525;
drum;1524;sadness anger
saturday;1524;
ship;1524;
drag;1521;
workin;1513;
rings;1512;happiness passion
rhymes;1510;
search;1507;confidence
prayer;1505;hope
mark;1500;
jealous;1496;
monkey;1496;happiness
burns;1494;sadness pain
celebrate;1494;happiness
nicki;1494;
attack;1489;pain
final;1487;fear
notice;1487;confidence
pound;1486;
minutes;1482;
shines;1477;serenity happiness
shaking;1476;happiness
brothers;1475;serenity
grey;1473;sadness pain fear
cost;1469;pain
twisted;1469;
excuse;1468;serenity confidence
leavin;1464;sadness
champagne;1463;happiness
stole;1460;sadness
cheap;1458;
meaning;1457;
boat;1456;
motherfuckers;1455;
akon;1452;
bleeding;1452;
freaky;1446;fear confusion
person;1445;
crawl;1438;confidence
showed;1438;
darlin;1437;love happiness hope passion
smiling;1436;love happiness hope
sean;1435;
promises;1434;confidence hope
buck;1432;happiness
swallow;1431;
bill;1430;
